PvEstimate,PvEstimate10,PvEstimate90,timestamp,Period
0,0,0,2024-04-18T12:00:00Z,PT30M
0,0,0,2024-04-18T12:30:00Z,PT30M
0,0,0,2024-04-18T13:00:00Z,PT30M
0,0,0,2024-04-18T13:30:00Z,PT30M
0,0,0,2024-04-18T14:00:00Z,PT30M
0,0,0,2024-04-18T14:30:00Z,PT30M
0,0,0,2024-04-18T15:00:00Z,PT30M
0,0,0,2024-04-18T15:30:00Z,PT30M
0,0,0,2024-04-18T16:00:00Z,PT30M
0,0,0,2024-04-18T16:30:00Z,PT30M
0,0,0,2024-04-18T17:00:00Z,PT30M
0,0,0,2024-04-18T17:30:00Z,PT30M
0,0,0,2024-04-18T18:00:00Z,PT30M
0,0,0,2024-04-18T18:30:00Z,PT30M
0,0,0,2024-04-18T19:00:00Z,PT30M
0,0,0,2024-04-18T19:30:00Z,PT30M
0,0,0,2024-04-18T20:00:00Z,PT30M
0,0,0,2024-04-18T20:30:00Z,PT30M
0,0,0,2024-04-18T21:00:00Z,PT30M
0.0164,0.0082,0.0243,2024-04-18T21:30:00Z,PT30M
0.4202,0.251,0.5163,2024-04-18T22:00:00Z,PT30M
1.6006,1.0167,1.7888,2024-04-18T22:30:00Z,PT30M
2.86,2.1127,3.0817,2024-04-18T23:00:00Z,PT30M
4.0564,3.0693,4.325,2024-04-18T23:30:00Z,PT30M
5.315,3.8725,5.443,2024-04-18T23:30:00Z,PT30M
6.4119,4.5828,6.4119,2024-04-19T00:30:00Z,PT30M
7.2021,5.2282,7.2021,2024-04-19T01:00:00Z,PT30M
7.8277,5.7395,7.8277,2024-04-19T01:30:00Z,PT30M
8.2749,6.0954,8.2749,2024-04-19T02:00:00Z,PT30M
8.5548,6.3053,8.5548,2024-04-19T02:30:00Z,PT30M
8.6836,6.3462,8.6836,2024-04-19T03:00:00Z,PT30M
8.4087,6.1377,8.6781,2024-04-19T03:30:00Z,PT30M
7.707,5.6233,8.4521,2024-04-19T04:00:00Z,PT30M
7.0096,5.0751,8.1058,2024-04-19T04:30:00Z,PT30M
6.2193,4.4623,7.577,2024-04-19T05:00:00Z,PT30M
5.3858,3.7792,6.8806,2024-04-19T05:30:00Z,PT30M
4.5089,3.1594,5.9051,2024-04-19T06:00:00Z,PT30M
3.7043,2.6677,4.6525,2024-04-19T06:30:00Z,PT30M
2.8666,2.0811,3.578,2024-04-19T07:00:00Z,PT30M
1.9401,1.3493,2.441,2024-04-19T07:30:00Z,PT30M
0.8982,0.4545,1.2185,2024-04-19T08:00:00Z,PT30M
0.1639,0.1054,0.2163,2024-04-19T08:30:00Z,PT30M
0,0,0,2024-04-19T09:00:00Z,PT30M
0,0,0,2024-04-19T09:30:00Z,PT30M
0,0,0,2024-04-19T10:00:00Z,PT30M
0,0,0,2024-04-19T10:30:00Z,PT30M
0,0,0,2024-04-19T11:00:00Z,PT30M
0,0,0,2024-04-19T11:30:00Z,PT30M
0,0,0,2024-04-19T12:00:00Z,PT30M
0,0,0,2024-04-19T12:30:00Z,PT30M
0,0,0,2024-04-19T13:00:00Z,PT30M
0,0,0,2024-04-19T13:30:00Z,PT30M
0,0,0,2024-04-19T14:00:00Z,PT30M
0,0,0,2024-04-19T14:30:00Z,PT30M
0,0,0,2024-04-19T15:00:00Z,PT30M
0,0,0,2024-04-19T15:30:00Z,PT30M
0,0,0,2024-04-19T16:00:00Z,PT30M
0,0,0,2024-04-19T16:30:00Z,PT30M
0,0,0,2024-04-19T17:00:00Z,PT30M
0,0,0,2024-04-19T17:30:00Z,PT30M
0,0,0,2024-04-19T18:00:00Z,PT30M
0,0,0,2024-04-19T18:30:00Z,PT30M
0,0,0,2024-04-19T19:00:00Z,PT30M
0,0,0,2024-04-19T19:30:00Z,PT30M
0,0,0,2024-04-19T20:00:00Z,PT30M
0,0,0,2024-04-19T20:30:00Z,PT30M
0,0,0,2024-04-19T21:00:00Z,PT30M
0.0245,0.0245,0.0245,2024-04-19T21:30:00Z,PT30M
0.5872,0.4771,0.5872,2024-04-19T22:00:00Z,PT30M
1.9154,1.6787,1.9154,2024-04-19T22:30:00Z,PT30M
3.28,2.9634,3.28,2024-04-19T23:00:00Z,PT30M
4.5656,4.1616,4.5656,2024-04-19T23:30:00Z,PT30M
5.6926,5.4087,5.6926,2024-04-18T23:30:00Z,PT30M
6.6676,6.6499,6.6676,2024-04-20T00:30:00Z,PT30M
7.4654,7.4654,7.4654,2024-04-20T01:00:00Z,PT30M
8.092,8.092,8.092,2024-04-20T01:30:00Z,PT30M
8.5747,8.5747,8.5747,2024-04-20T02:00:00Z,PT30M
8.8506,8.8506,8.8506,2024-04-20T02:30:00Z,PT30M
8.9468,8.9468,8.9468,2024-04-20T03:00:00Z,PT30M
8.8961,8.8961,8.8961,2024-04-20T03:30:00Z,PT30M
8.6482,8.6482,8.6482,2024-04-20T04:00:00Z,PT30M
8.2587,8.2587,8.2587,2024-04-20T04:30:00Z,PT30M
7.7222,7.7222,7.7222,2024-04-20T05:00:00Z,PT30M
7.0049,7.0049,7.0049,2024-04-20T05:30:00Z,PT30M
6.1103,6.0174,6.1103,2024-04-20T06:00:00Z,PT30M
5.069,4.7022,5.069,2024-04-20T06:30:00Z,PT30M
3.8911,3.5371,3.8911,2024-04-20T07:00:00Z,PT30M
2.596,2.3274,2.596,2024-04-20T07:30:00Z,PT30M
1.2863,1.0992,1.2863,2024-04-20T08:00:00Z,PT30M
0.2055,0.1809,0.2055,2024-04-20T08:30:00Z,PT30M
0,0,0,2024-04-20T09:00:00Z,PT30M
0,0,0,2024-04-20T09:30:00Z,PT30M
0,0,0,2024-04-20T10:00:00Z,PT30M
0,0,0,2024-04-20T10:30:00Z,PT30M
0,0,0,2024-04-20T11:00:00Z,PT30M
0,0,0,2024-04-20T11:30:00Z,PT30M
0,0,0,2024-04-20T12:00:00Z,PT30M